Readville,2
Fairmount,0
Four Corners/Geneva Ave.,0
Morton Street,0
Newmarket,0
Talbot,0
Uphams Corner,0
South Station,0
Ayer,8
Belmont,1
Brandeis/ Roberts,2
Concord,5
Fitchburg,8
Hastings,3
Kendal Green,3
Lincoln,4
Littleton / Rte 495,7
North Leominster,8
Porter Square,0
Shirley,8
Silver Hill,3
South Acton,6
Waltham,2
Waverley,1
West Concord,5
North Station,0
Dedham Corp Center,2
Endicott,2
Forge Park / 495,6
Franklin,6
Islington,3
Norfolk,5
Norwood Central,3
Norwood Depot,3
Plimptonville,4
Walpole,4
Windsor Gardens,4
Readville,2
Fairmount,0
Four Corners/Geneva Ave.,0
Morton Street,0
Newmarket,0
Talbot,0
Uphams Corner,0
Hyde Park,1
Gillette Stadium/Foxboro,4
Ruggles,0
Back Bay,0
South Station,0
East Weymouth,2
Greenbush,6
Nantasket Junction,4
North Scituate,5
West Hingham,3
Weymouth Landing/ East Braintree,2
Cohasset,4
Quincy Center,1
JFK/UMASS,0
South Station,0
North Station,0
Andover,5
Ballardvale,4
Bradford,7
Greenwood,2
Haverhill,7
Lawrence,6
Malden Center,0
Melrose Cedar Park,1
Melrose Highlands,1
North Wilmington,3
Reading,2
Wakefield,2
Wyoming Hill,1
Anderson/ Woburn,2
Mishawum,2
Wedgemere,1
West Medford,0
Abington,4
Halifax,7
Hanson,6
Kingston,8
Plymouth,8
South Weymouth,3
Whitman,5
Braintree,2
Quincy Center,1
JFK/UMASS,0
South Station,0
North Station,0
Lowell,6
North Billerica,5
Wilmington,3
Winchester Center,1
Anderson/ Woburn,2
Mishawum,2
Wedgemere,1
West Medford,0
Bridgewater,6
Brockton,4
Campello,5
Holbrook/ Randolph,3
Middleboro/ Lakeville,8
Montello,4
Braintree,2
Quincy Center,1
JFK/UMASS,0
South Station,0
Bellevue,1
Forest Hills,0
Hersey,2
Highland,1
Needham Center,2
Needham Heights,2
Needham Junction,2
Roslindale Village,1
West Roxbury,1
Ruggles,0
Back Bay,0
South Station,0
North Station,0
Beverly,4
Beverly Farms,5
Chelsea,0
Gloucester,7
Hamilton/ Wenham,5
Ipswich,6
Lynn,2
Manchester,6
Montserrat,4
Newburyport,8
North Beverly,5
Prides Crossing,5
River Works,2
Rockport,8
Rowley,7
Salem,3
Swampscott,3
West Gloucester,7
Hyde Park,1
Gillette Stadium/Foxboro,4
Attleboro,7
Canton Center,3
Canton Junction,3
Mansfield,6
Providence,8
Route 128,2
Sharon,4
South Attleboro,7
Stoughton,4
TF Green Airport,9
Wickford Junction,10
South Station,0
Ashland,6
Auburndale,2
Framingham,5
Grafton,8
Natick,4
Newtonville,1
Southborough,6
Wellesley Farms,3
Wellesley Hills,3
Wellesley Square,3
West Natick,4
West Newton,2
Westborough,7
Worcester / Union Station,8
Yawkey,0
Back Bay,0
South Station,0
